ZoneId,TimestampUtc,Timestamp,TimeZoneId,Capacity,Vehicles,Violations,ViolationsEnforced
1B3D7D69-A1D0-4B8B-B86A-D31F8CFF2B2E,2024-03-26T22:46:00,2024-03-26T15:46:00,Pacific Standard Time,216,132,74,0
7A5B3916-AD6C-445E-A6C5-BC582EB20530,2024-03-26T22:46:00,2024-03-26T15:46:00,Pacific Standard Time,1100,802,50,4
E10D7DB4-C792-42AC-BAE8-969FA63F198D,2024-03-26T22:46:00,2024-03-26T15:46:00,Pacific Standard Time,1232,623,60,13
ACF9CF85-6991-42B9-9467-6094008D1094,2024-03-26T22:46:00,2024-03-26T15:46:00,Pacific Standard Time,990,476,121,63
859835AD-E855-4DBF-83ED-419DEF40537C,2024-03-26T22:46:00,2024-03-26T15:46:00,Pacific Standard Time,1189,704,74,26
33B31206-E1F8-44CE-87A5-318C6D198416,2024-03-26T22:46:00,2024-03-26T15:46:00,Pacific Standard Time,807,481,67,13
3B3F3EC1-5D84-4C80-9CAD-2CCC9A9268A4,2024-03-26T22:46:00,2024-03-26T15:46:00,Pacific Standard Time,687,414,70,3
1B3D7D69-A1D0-4B8B-B86A-D31F8CFF2B2E,2024-03-26T22:45:00,2024-03-26T15:45:00,Pacific Standard Time,216,132,74,0
7A5B3916-AD6C-445E-A6C5-BC582EB20530,2024-03-26T22:45:00,2024-03-26T15:45:00,Pacific Standard Time,1100,806,51,4
E10D7DB4-C792-42AC-BAE8-969FA63F198D,2024-03-26T22:45:00,2024-03-26T15:45:00,Pacific Standard Time,1232,630,61,13
ACF9CF85-6991-42B9-9467-6094008D1094,2024-03-26T22:45:00,2024-03-26T15:45:00,Pacific Standard Time,990,478,121,63
859835AD-E855-4DBF-83ED-419DEF40537C,2024-03-26T22:45:00,2024-03-26T15:45:00,Pacific Standard Time,1189,709,75,26
33B31206-E1F8-44CE-87A5-318C6D198416,2024-03-26T22:45:00,2024-03-26T15:45:00,Pacific Standard Time,807,480,67,13
3B3F3EC1-5D84-4C80-9CAD-2CCC9A9268A4,2024-03-26T22:45:00,2024-03-26T15:45:00,Pacific Standard Time,687,417,70,3
1B3D7D69-A1D0-4B8B-B86A-D31F8CFF2B2E,2024-03-26T22:44:00,2024-03-26T15:44:00,Pacific Standard Time,216,134,76,0
7A5B3916-AD6C-445E-A6C5-BC582EB20530,2024-03-26T22:44:00,2024-03-26T15:44:00,Pacific Standard Time,1100,808,51,4
E10D7DB4-C792-42AC-BAE8-969FA63F198D,2024-03-26T22:44:00,2024-03-26T15:44:00,Pacific Standard Time,1232,632,61,13
ACF9CF85-6991-42B9-9467-6094008D1094,2024-03-26T22:44:00,2024-03-26T15:44:00,Pacific Standard Time,990,479,121,64
859835AD-E855-4DBF-83ED-419DEF40537C,2024-03-26T22:44:00,2024-03-26T15:44:00,Pacific Standard Time,1189,710,75,26
33B31206-E1F8-44CE-87A5-318C6D198416,2024-03-26T22:44:00,2024-03-26T15:44:00,Pacific Standard Time,807,482,68,13
